name,team,cost,pos,sel,g,a,cs,mins,ti,to
P. Stojanović,SVN,5.5,MID,0,0,3,4,772,115,145
C. Fassnacht,SUI,5.5,MID,0,0,0,0,45,62,121
D. Sow,SUI,5.5,MID,0,0,0,0,0,434,532
U. Bislimi,SUI,5.5,MID,0,0,0,1,180,11,56
A. Jashari,SUI,5.5,MID,0,0,0,0,0,29,67
S. Zuber,SUI,5.5,MID,0,0,0,0,10,393,280
J. Veretout,FRA,5.5,MID,0,0,0,0,0,38,49
M. Sarkaria,AUT,5.5,FWD,0,0,0,0,0,65,74
R. Freuler,SUI,5.5,MID,0,2,3,5,762,773,508
B. Cristante,ITA,5.5,MID,0,0,0,0,0,270,212
D. Bîrligea,ROU,5.5,FWD,0,0,0,1,90,17,21
D. Strelec,SVK,5.5,FWD,0,0,0,0,0,28,26
R. Polievka,SVK,5.5,FWD,0,0,0,0,0,16,14
I. Schranz,SVK,5.5,FWD,0,0,0,0,0,8,16
Ľ. Tupta,SVK,5.5,FWD,0,0,0,2,34,14,10
D. Drăguş,ROU,5.5,FWD,0,0,0,0,113,43,53
T. Seferi,ALB,5.5,MID,0,2,0,4,394,66,101
V. Mihăilă,ROU,5.5,FWD,0,3,0,0,171,82,76
R. Jack,SCO,5.5,MID,0,0,0,0,0,33,64
S. Kalajdzic,AUT,5.5,FWD,0,0,0,0,133,135,200
M. Entrup,AUT,5.5,FWD,0,0,0,0,0,15,22
G. Burgstaller,AUT,5.5,FWD,0,0,0,1,1,17,22
J. Adamu,AUT,5.5,FWD,0,0,0,0,112,72,94
A. Weimann,AUT,5.5,MID,0,0,0,0,0,51,98
K. McLean,SCO,5.5,MID,0,1,2,5,172,51,85
D. Ndoye,SUI,5.5,FWD,0,0,0,0,0,104,103
H. Seferović,SUI,5.5,FWD,0,0,0,0,0,116,163
R. Malinovskyi,UKR,5.5,MID,0,0,0,0,0,817,1005
A. Zeqiri,SUI,5.5,FWD,0,0,0,0,0,58,66
F. Tănase,ROU,5.5,FWD,0,0,0,0,0,9,11
J. Kucka,SVK,5.5,MID,0,2,2,5,684,73,95
A. García,ESP,5.5,MID,0,0,0,0,45,85,98
R. Riquelme,ESP,5.5,MID,0,0,0,1,112,45,66
D. Ceballos,ESP,5.5,MID,0,0,0,0,0,124,181
M. Hjulmand,DEN,5.5,MID,0,0,0,0,0,314,287
J. Lindstrøm,DEN,5.5,MID,0,0,0,6,630,171,226
P. Hrošovský,SVK,5.5,MID,0,0,0,0,0,5,17
M. Zubimendi,ESP,5.5,MID,0,0,0,2,213,175,232
M. de Roon,NED,5.5,MID,0,0,0,0,0,125,236
D. Klaassen,NED,5.5,MID,0,0,0,0,25,146,223
J. Schouten,NED,5.5,MID,0,0,0,1,90,54,55
R. Gravenberch,NED,5.5,MID,0,0,0,0,0,1113,1335
S. Lobotka,SVK,5.5,MID,0,1,1,5,788,336,478
J. Gayà,ESP,5.5,DEF,0,0,2,1,331,170,595
A. Dreyer,DEN,5.5,MID,0,0,0,0,0,84,112
T. Delaney,DEN,5.5,MID,0,1,0,1,181,68,111
P. Billing,DEN,5.5,MID,0,0,0,1,135,252,434
C. Nørgaard,DEN,5.5,MID,0,0,0,0,0,195,292
J. Brunn Larsen,DEN,5.5,MID,0,0,0,0,0,117,166
M. Trésor,BEL,5.5,MID,0,0,0,2,35,22,33
G. Arabidze,GEO,5.5,FWD,0,0,0,0,0,48,66
Bruma,POR,5.5,FWD,0,0,0,0,0,96,91
D. Sikan,UKR,5.5,FWD,0,0,0,1,23,28,42
N. Vallys,DEN,5.5,FWD,0,0,0,0,0,5,14
S. Sydorchuk,UKR,5.5,MID,0,0,0,5,145,20,22
M. Keita,BEL,5.5,MID,0,0,0,1,90,22,26
M. Gotze,GER,5.5,MID,0,0,0,0,0,190,265
T. Stepanenko,UKR,5.5,MID,0,0,0,0,0,44,55
O. Pikhalonok,UKR,5.5,MID,0,0,0,0,31,2,12
A. Buksa,POL,5.5,FWD,0,1,0,0,113,18,20
K. Świderski,POL,5.5,FWD,0,2,1,0,528,137,160
A. Benedyczak,POL,5.5,FWD,0,0,0,0,0,11,18
T. Horvat,SVN,5.5,MID,0,0,0,1,1,10,21
B. Zaragoza,ESP,5.5,FWD,0,0,0,0,0,27,37
B. Iglesias,ESP,5.5,FWD,0,0,0,1,30,334,377
A. Yarmolenko,UKR,5.5,MID,0,1,0,1,119,663,888
F. Kadıoğlu,TUR,5.5,MID,0,0,0,3,574,335,346
N. Zalewski,POL,5.5,MID,0,0,3,3,458,357,354
K. Grosicki,POL,5.5,MID,0,0,0,0,0,18,34
K. Linetty,POL,5.5,MID,0,0,0,2,169,4,16
K. Kozłowski,POL,5.5,MID,0,0,0,0,0,7,24
B. Slisz,POL,5.5,MID,0,0,0,0,0,6,13
J. Piotrowski,POL,5.5,MID,0,2,1,0,205,104,117
A. Mehmeti,ALB,5.5,MID,0,0,0,3,73,55,84
Q. Laçi,ALB,5.5,MID,0,0,0,2,26,14,27
Y. Ramadani,ALB,5.5,MID,0,0,1,3,630,32,55
K. Asllani,ALB,5.5,MID,0,1,1,4,679,186,221
D. Joveljić,SRB,5.5,FWD,0,0,0,0,0,20,39
M. Daku,ALB,5.5,FWD,0,0,0,0,0,80,95
N. Rusyn,UKR,5.5,FWD,0,0,0,0,0,22,29
S. Özcan,TUR,5.5,MID,0,0,1,0,320,166,237
B. Sosa,CRO,5.5,DEF,0,0,1,3,302,292,834
N. Radonjić,SRB,5.5,FWD,0,0,0,0,0,18,27
D. Lazović,SRB,5.5,FWD,0,1,0,1,14,10,15
A. Barák,CZE,5.5,MID,0,0,0,0,107,120,96
M. Jurásek,CZE,5.5,MID,0,0,0,0,0,28,34
R. Skov,DEN,5.5,MID,0,2,0,1,98,108,159
K. Karaman,TUR,5.5,FWD,0,0,0,0,0,32,25
G. Kochorashvili,GEO,5.5,MID,0,0,0,3,372,44,51
O. Kiteishvili,GEO,5.5,MID,0,1,0,3,629,53,79
E. Muçi,ALB,5.5,FWD,0,1,0,0,260,54,70
K. Behrens,GER,5.5,FWD,0,0,0,0,0,16,15
P. Wimmer,AUT,5.5,MID,0,0,0,3,613,104,138
M. Ducksch,GER,5.5,FWD,0,0,0,0,0,13,16
M. Ádám,HUN,5.5,FWD,0,2,1,0,320,85,115
R. Sallai,HUN,5.5,FWD,0,2,1,0,472,406,422
K. Csoboth,HUN,5.5,FWD,0,0,0,4,399,12,28
R. Marin,ROU,5.5,MID,0,1,2,5,534,68,85
L. Sučić,CRO,5.5,MID,0,0,0,0,0,54,66
P. Musa,CRO,5.5,FWD,0,0,0,4,514,92,102
M. Oršić,CRO,5.5,FWD,0,0,0,0,0,389,503
M. Pjaca,CRO,5.5,FWD,0,0,0,0,0,34,40
T. Čvančara,CZE,5.5,FWD,0,1,0,4,450,27,34
V. Kušej,CZE,5.5,FWD,0,0,0,0,0,2,8
T. Chorý,CZE,5.5,FWD,0,1,1,0,86,13,21
A. Hložek,CZE,5.5,FWD,0,0,0,0,478,395,484
L. Zahović,SVN,5.5,FWD,0,0,0,1,3,17,32
M. Nunes,POR,5.5,MID,0,0,0,0,0,556,752
J. Neves,POR,5.5,MID,0,0,0,3,159,486,433
C. Styles,HUN,5.5,MID,0,0,0,3,630,43,54
D. Gazdag,HUN,5.5,MID,0,0,0,2,177,63,66
L. Ivanušec,CRO,5.5,MID,0,1,1,5,271,99,132
Á. Nagy,HUN,5.5,MID,0,1,0,3,689,168,184
Z. Kalmár,HUN,5.5,MID,0,0,0,5,91,12,21
A. Matko,SVN,5.5,FWD,0,0,0,0,0,6,13
Ž. Vipotnik,SVN,5.5,FWD,0,2,1,0,277,7,17
J. Mlakar,SVN,5.5,FWD,0,1,0,0,591,18,16
J. Asani,ALB,5.5,FWD,0,3,2,4,692,481,349
A. Muja,ALB,5.5,FWD,0,0,0,2,40,54,74
F. Đuričić,SRB,5.5,MID,0,0,0,0,0,19,22
S. Lukić,SRB,5.5,MID,0,0,2,2,378,57,81
J. Pickford,ENG,5,GK,24,0,0,0,0,52408,34051
A. Grimaldo,ESP,5,DEF,20,0,0,0,0,47063,32741
F. Dimarco,ITA,5,DEF,20,0,0,0,0,61948,21587
Jorginho,ITA,5,MID,12,0,0,0,0,47871,24851
D. Costa,POR,5,GK,9,0,0,6,246,29622,18477
D. Dalot,POR,5,DEF,8,0,0,5,362,22386,19963
J. Koundé,FRA,5,DEF,6,0,0,0,0,12949,13283
Y. Sommer,SUI,5,GK,6,0,0,0,0,9239,10581
E. Ünal,TUR,5,FWD,5,0,1,0,140,13991,12460
M. Akanji,SUI,5,DEF,5,1,0,3,891,9317,10900
K. Schmeichel,DEN,5,GK,4,0,0,0,0,7032,8264
D. Livaković,CRO,5,GK,4,0,1,5,651,4968,6386
T. Castagne,BEL,5,DEF,4,0,1,5,675,17351,16054
J. Stones,ENG,5,DEF,4,0,0,0,0,13841,11208
M. Hummels,GER,5,DEF,3,0,0,0,0,4306,8365
B. Pavard,FRA,5,DEF,3,0,0,0,0,4331,6386
A. Christensen,DEN,5,DEF,3,0,0,0,0,4003,7084
H. Maguire,ENG,5,DEF,3,0,0,4,654,15429,29102
D. Raya,ESP,5,GK,3,0,0,0,0,3797,5501
N. Mendes,POR,5,DEF,3,0,1,1,90,5148,6757
A. Balde,ESP,5,DEF,2,0,1,3,117,3122,6050
Nacho,ESP,5,DEF,2,0,0,1,1,2051,3627
D. Man,ROU,5,FWD,2,1,0,0,56,4415,3810
A. Laporte,ESP,5,DEF,2,0,0,0,136,2798,4309
V. Mykolenko,UKR,5,DEF,2,0,0,3,900,4876,7730
B. Gilmour,SCO,5,MID,2,0,0,4,444,4660,4535
J. Oblak,SVN,5,GK,2,0,0,0,0,3066,3861
D. Upamecano,FRA,5,DEF,2,1,0,5,441,2227,3737
G. Vicario,ITA,5,GK,2,0,0,0,0,2381,5372
M. van de Ven,NED,5,DEF,2,0,0,2,130,2178,4278
W. Szczęsny,POL,5,GK,2,0,0,4,846,1894,3261
D. Volkov,GEO,5,FWD,2,0,0,0,0,5338,4385
Pepe,POR,5,DEF,2,0,0,1,90,2110,4391
A. Ramsdale,ENG,5,GK,1,0,0,0,0,1084,2506
P. Torres,ESP,5,DEF,1,0,0,0,45,1275,3090
I. Martínez,ESP,5,DEF,1,0,0,0,0,491,2130
C. Azpilicueta,ESP,5,DEF,1,0,0,0,0,396,2054
D. Raum,GER,5,DEF,1,0,0,0,0,2053,4870
K. Tierney,SCO,5,DEF,1,0,0,4,247,1073,3206
R. Gosens,GER,5,DEF,1,0,0,0,0,617,2611
N. Sule,GER,5,DEF,1,0,0,0,0,843,3003
A. Čerin,SVN,5,MID,1,1,3,4,900,2455,1999
A. Disasi,FRA,5,DEF,1,0,0,0,0,334,2091
V. Coufal,CZE,5,DEF,1,0,1,3,395,854,2889
K. Casteels,BEL,5,GK,1,0,0,3,20,6607,4168
M. Škriniar,SVK,5,DEF,1,0,0,0,0,604,2405
J. Andersen,DEN,5,DEF,1,0,1,3,583,838,2452
M. Gusto,FRA,5,DEF,1,0,0,0,0,349,2077
J. Clauss,FRA,5,DEF,1,1,2,3,196,970,2230
J. Hofmann,GER,5,MID,1,0,0,0,0,1494,1708
J. Stanišić,CRO,5,DEF,1,0,0,4,307,796,2720
M. Darmian,ITA,5,DEF,1,0,0,0,0,514,1934
L. Spinazzola,ITA,5,DEF,1,0,0,0,0,1489,4476
F. Acerbi,ITA,5,DEF,1,0,0,0,0,467,2079
Z. Çelik,TUR,5,DEF,1,0,0,3,342,623,2147
D. Zakaria,SUI,5,MID,1,0,1,3,630,2177,2299
D. Blind,NED,5,DEF,1,0,1,3,275,655,2272
S. de Vrij,NED,5,DEF,1,0,1,0,112,224,1759
J. Timber,NED,5,DEF,1,0,0,0,0,529,2682
M. Cash,POL,5,DEF,1,0,0,0,0,593,3136
G. Mikautadze,GEO,5,FWD,1,0,0,0,0,2563,2393
A. Silva,POR,5,DEF,1,0,1,4,450,915,2194
J. Sá,POR,5,GK,1,0,0,1,5,1488,2383
L. Shaw,ENG,5,DEF,1,0,1,0,116,1290,3121
L. Munteanu,ROU,5,FWD,0,0,0,0,0,300,371
G. Puşcaş,ROU,5,FWD,0,1,0,0,146,981,1006
D. Alibec,ROU,5,FWD,0,3,0,0,522,563,499
F. García,ESP,5,DEF,0,0,0,0,36,131,1542
D. Sorescu,ROU,5,MID,0,0,0,3,450,625,786
G. Taylor,SCO,5,DEF,0,0,0,0,180,123,1706
B. Henrich,GER,5,DEF,0,0,0,0,0,125,1567
J. Henderson,ENG,5,MID,0,0,2,5,379,698,1006
B. Verbič,SVN,5,MID,0,1,0,7,296,344,639
J. Stanković,SVN,5,MID,0,0,0,0,0,317,588
K. Nisbet,SCO,5,FWD,0,0,0,0,59,410,457
M. Zajc,SVN,5,MID,0,0,0,0,0,80,180
J. Kurtić,SVN,5,MID,0,0,0,6,90,88,158
J. Bijol,SVN,5,MID,0,0,0,0,0,108,189
K. Bare,ALB,5,MID,0,0,0,5,103,223,309
L. Krejčí,CZE,5,DEF,0,0,0,0,0,189,1707
L. Ferguson,SCO,5,MID,0,0,0,0,0,1184,1331
A. Hickey,SCO,5,MID,0,0,0,4,455,364,480
F. Mladenović,SRB,5,DEF,0,0,3,4,288,190,1771
M. Ingvartsen,DEN,5,FWD,0,0,0,0,0,478,488
A. Vombergar,SVN,5,FWD,0,0,0,0,24,59,67
P. Ratkov,SRB,5,FWD,0,0,0,0,0,100,94
D. Jovanović,SRB,5,FWD,0,0,0,0,0,211,193
N. Žugelj,SVN,5,FWD,0,0,0,0,0,56,72
M. Grujić,SRB,5,MID,0,0,0,0,0,224,271
N. Gudelj,SRB,5,MID,0,0,0,0,0,337,360
M. Gaćinović,SRB,5,MID,0,0,0,0,0,42,47
U. Račić,SRB,5,MID,0,0,0,2,40,116,142
A. Sadiku,ALB,5,FWD,0,0,0,0,0,138,138
D. Brekalo,SVN,5,DEF,0,0,0,0,0,109,1610
Ž. Karničnik,SVN,5,DEF,0,1,2,4,868,164,1628
D. Ďuriš,SVK,5,FWD,0,1,0,0,84,73,72
A. Zreľák,SVK,5,FWD,0,0,0,1,5,42,51
J. Kadák,SVK,5,MID,0,0,0,0,0,39,61
M. Bero,SVK,5,MID,0,0,0,4,85,34,55
E. Jirka,SVK,5,MID,0,0,0,0,0,26,42
T. Holeš,CZE,5,MID,0,0,0,0,0,199,250
J. Zmrhal,CZE,5,MID,0,0,0,0,0,42,50
D. Beljo,CRO,5,FWD,0,0,0,1,180,152,108
M. Frigan,CRO,5,FWD,0,0,0,0,0,135,101
F. Nmecha,GER,5,MID,0,0,0,0,0,142,174
C. Fuhrich,GER,5,MID,0,0,0,0,0,115,120
G. Promel,GER,5,MID,0,0,0,0,0,17,15
R. Andrich,GER,5,MID,0,0,0,0,0,927,833
J. Šutalo,CRO,5,DEF,0,0,0,5,320,206,1680
B. Barišić,CRO,5,DEF,0,0,0,0,0,91,1626
J. Juranović,CRO,5,DEF,0,0,0,0,0,253,1861
P. Ševčík,CZE,5,MID,0,0,0,0,0,63,77
M. Sadílek,CZE,5,MID,0,0,0,3,241,63,60
L. Sadílek,CZE,5,MID,0,0,0,1,4,15,47
A. Král,CZE,5,MID,0,0,1,3,342,177,234
L. Masopust,CZE,5,MID,0,0,0,0,0,23,32
J. Matoušek,CZE,5,FWD,0,0,0,1,11,172,145
U. Bozok,TUR,5,FWD,0,0,0,0,0,189,192
H. Dervişoğlu,TUR,5,FWD,0,0,0,0,0,112,108
A. Németh,HUN,5,FWD,0,0,0,1,180,251,257
B. Vécsei,HUN,5,MID,0,1,0,0,19,65,85
S. Szuhodovszki,HUN,5,MID,0,0,0,1,90,42,55
L. Kleinheisler,HUN,5,MID,0,0,0,0,15,60,76
A. Vranckx,BEL,5,MID,0,0,1,3,164,69,77
O. Mangala,BEL,5,MID,0,0,2,6,450,340,317
L. Dendoncker,BEL,5,MID,0,0,0,0,0,225,265
E. Fernandes,SUI,5,MID,0,0,0,0,0,180,208
M. Aebischer,SUI,5,MID,0,0,0,1,166,55,73
F. Rieder,SUI,5,MID,0,0,0,2,52,45,52
N. Seiwald,AUT,5,MID,0,0,0,3,720,216,227
D. Ljubicic,AUT,5,MID,0,0,0,3,209,39,48
B. Yıldırım,TUR,5,FWD,0,1,0,2,180,260,287
A. Meret,ITA,5,GK,0,0,0,0,0,111,634
E. Akbaba,TUR,5,FWD,0,0,0,0,0,186,197
Y. Nazaryna,UKR,5,MID,0,0,0,2,64,28,29
L. Geertruida,NED,5,DEF,0,0,0,0,0,260,1861
J. Teze,NED,5,DEF,0,0,0,0,0,74,1555
N. Moro,CRO,5,MID,0,0,0,0,0,39,51
N. Elvedi,SUI,5,DEF,0,0,0,3,390,212,1629
A. Pedraza,ESP,5,MID,0,0,0,0,0,68,92
K. Taylor,NED,5,MID,0,0,0,0,0,104,143
M. Wieffer,NED,5,MID,0,1,0,3,450,285,338
B. Zivzivadze,GEO,5,FWD,0,3,0,0,332,624,580
A. Trubin,UKR,5,GK,0,0,0,0,0,781,1405
K. Arrizabalaga,ESP,5,GK,0,0,0,1,42,171,696
J. Navas,ESP,5,DEF,0,0,1,0,100,83,1506
G. Beridze,GEO,5,FWD,0,0,0,0,0,196,204
G. Kvilitaia,GEO,5,FWD,0,0,0,2,31,700,766
J. Kamiński,POL,5,MID,0,0,1,3,405,104,116
G. Krychowiak,POL,5,MID,0,0,0,1,2,50,74
F. Marchwiński,POL,5,MID,0,0,0,0,0,10,19
B. Lederman,POL,5,MID,0,0,0,0,0,28,41
M. Łęgowski,POL,5,MID,0,0,0,0,0,12,18
P. Wszołek,POL,5,MID,0,0,0,0,0,16,31
P. Dziczek,POL,5,MID,0,0,0,0,0,17,20
İ. Yüksek,TUR,5,MID,0,0,1,3,521,177,144
N. Semedo,POR,5,DEF,0,0,0,0,0,142,1571
G. Tsitaishvili,GEO,5,MID,0,0,0,0,0,52,69
Z. Davitashvili,GEO,5,MID,0,1,0,5,303,64,71
L. Shengelia,GEO,5,MID,0,1,1,3,249,39,54
B. Chilwell,ENG,5,DEF,0,0,0,1,85,225,1731
R. Patrício,POR,5,GK,0,0,0,2,180,529,1093
D. Ihnatenko,UKR,5,MID,0,0,0,0,0,11,22
O. Roshi,ALB,5,MID,0,0,0,0,0,28,35
K. Gjasula,ALB,5,MID,0,0,0,3,435,28,43
Uçan,TUR,5,MID,0,0,0,0,0,59,82
B. Kutlu,TUR,5,MID,0,0,0,0,58,13,27
A. Ömür,TUR,5,MID,0,0,0,0,0,120,150
Danilo,POR,5,MID,0,0,0,6,129,659,833
R. Sanches,POR,5,MID,0,0,0,0,0,651,790
R. James,ENG,5,DEF,0,0,0,0,21,124,1635
K. Phillips,ENG,5,MID,0,1,0,2,198,295,500
I. Konoplianka,UKR,5,MID,0,0,0,0,0,138,203
A. Lunin,UKR,4.5,GK,18,0,0,0,0,51235,30281
D. Schmid,SUI,4.5,MID,14,0,0,0,0,36462,28435
N. Schlotterbeck,GER,4.5,DEF,7,0,0,0,0,20287,24492
J. Tah,GER,4.5,DEF,4,0,0,0,0,24503,15030
B. Verbruggen,NED,4.5,GK,4,0,0,3,348,26591,13993
J. Kankava,GEO,4.5,MID,3,0,0,1,90,7993,7029
J. Vertonghen,BEL,4.5,DEF,3,1,0,0,224,9718,10283
F. Schär,SUI,4.5,DEF,3,0,0,0,181,10807,9188
G. Kobel,SUI,4.5,GK,3,0,0,0,45,6145,6794
F. Mendy,FRA,4.5,DEF,2,0,0,0,0,4425,5042
G. Mamardashvili,GEO,4.5,GK,2,0,0,0,0,2892,3384
N. Kvekveskiri,GEO,4.5,MID,2,0,0,3,383,4281,3723
G. Chakvetadze,GEO,4.5,MID,2,1,3,4,561,8913,4771
W. Orbán,HUN,4.5,DEF,2,0,0,0,0,2773,4329
M. Erlić,CRO,4.5,DEF,1,0,0,0,9,880,2325
D. Vida,CRO,4.5,DEF,1,0,0,0,0,1519,3105
W. Fofana,FRA,4.5,DEF,1,0,0,0,0,638,2024
J. Todibo,FRA,4.5,DEF,1,0,0,0,0,686,2235
A. Areola,FRA,4.5,GK,1,0,0,0,0,1415,2337
L. Klosterman,GER,4.5,DEF,1,0,0,0,0,457,1994
